id_books,title,author,editor,pages,id_gender,id_stand
1449,Libro 0,Cortázar,Norma,221,8,0
3021,Libro 1,Asimov,Norma,755,6,3
8912,Libro 2,Asimov,Planeta,1052,2,0
1077,Libro 3,Borges,Planeta,968,2,2
8155,Libro 4,Borges,Norma,775,7,2
6454,Libro 5,Asimov,Planeta,423,7,2
5996,Libro 6,Cortázar,Norma,701,9,1
1790,Libro 7,Cortázar,Planeta,757,12,3
5530,Libro 8,Cortázar,Planeta,246,8,2
3054,Libro 9,Asimov,Planeta,1000,10,3
4249,Libro 10,Borges,Planeta,693,4,1
8923,Libro 11,Asimov,Planeta,202,2,1
4624,Libro 12,Cortázar,Planeta,824,7,0
7720,Libro 13,Borges,Norma,260,10,3
3296,Libro 14,Asimov,Planeta,268,8,2
4241,Libro 15,Borges,Norma,845,11,2
8323,Libro 16,Asimov,Norma,242,6,0
8102,Libro 17,Cortázar,Planeta,237,9,2
8489,Libro 18,Cortázar,Norma,155,11,2
3611,Libro 19,Asimov,Norma,1107,11,2
6708,Libro 20,Borges,Planeta,1152,2,2
6731,Libro 21,Asimov,Norma,594,11,0
8237,Libro 22,Cortázar,Norma,1200,9,3
6694,Libro 23,Asimov,Norma,461,8,1
6225,Libro 24,Asimov,Norma,1182,11,0
9069,Libro 25,Cortázar,Norma,777,6,0
7562,Libro 26,Cortázar,Norma,910,5,1
6122,Libro 27,Borges,Planeta,817,2,0
3133,Libro 28,Asimov,Norma,1003,9,3
7283,Libro 29,Asimov,Planeta,861,3,3
1570,Libro 30,Borges,Planeta,913,8,0
2211,Libro 31,Cortázar,Planeta,185,1,2
6653,Libro 32,Borges,Norma,974,5,0
1620,Libro 33,Borges,Planeta,760,9,0
9256,Libro 34,Asimov,Norma,722,3,2
5899,Libro 35,Cortázar,Norma,828,6,0
7312,Libro 36,Cortázar,Planeta,225,3,3
3719,Libro 37,Asimov,Norma,891,8,2
7497,Libro 38,Borges,Norma,836,10,3
5228,Libro 39,Borges,Planeta,345,2,1
7067,Libro 40,Cortázar,Planeta,1117,2,0
4208,Libro 41,Borges,Norma,434,3,2
7789,Libro 42,Asimov,Norma,422,1,3
4884,Libro 43,Asimov,Norma,639,12,2
4254,Libro 44,Cortázar,Planeta,730,4,3
2874,Libro 45,Borges,Planeta,934,11,2
3966,Libro 46,Asimov,Norma,581,10,0
9551,Libro 47,Borges,Planeta,200,9,3
4684,Libro 48,Asimov,Norma,1075,12,1
8477,Libro 49,Cortázar,Norma,151,12,0
9404,Libro 50,Borges,Planeta,491,9,2
1836,Libro 51,Cortázar,Norma,916,10,1
4467,Libro 52,Asimov,Planeta,586,5,1
8845,Libro 53,Borges,Norma,697,9,2
5600,Libro 54,Borges,Planeta,464,11,1
2576,Libro 55,Asimov,Norma,988,10,1
6743,Libro 56,Borges,Norma,316,8,0
5146,Libro 57,Borges,Planeta,561,6,0
2613,Libro 58,Borges,Norma,232,5,3
8654,Libro 59,Borges,Planeta,441,9,1
4145,Libro 60,Cortázar,Planeta,1057,12,1
7519,Libro 61,Borges,Norma,126,12,2
8353,Libro 62,Asimov,Norma,364,10,3
8331,Libro 63,Asimov,Planeta,941,8,3
2642,Libro 64,Asimov,Planeta,128,6,2
8721,Libro 65,Borges,Planeta,1155,11,1
9247,Libro 66,Borges,Norma,740,3,2
1357,Libro 67,Cortázar,Planeta,700,3,3
7931,Libro 68,Asimov,Norma,713,3,1
3047,Libro 69,Asimov,Norma,785,3,1
6847,Libro 70,Asimov,Norma,964,1,2
8868,Libro 71,Cortázar,Planeta,602,5,3
6813,Libro 72,Cortázar,Norma,732,12,2
8465,Libro 73,Cortázar,Norma,1015,1,3
4511,Libro 74,Asimov,Planeta,385,4,2
6689,Libro 75,Cortázar,Norma,355,11,3
6136,Libro 76,Cortázar,Planeta,734,11,0
6597,Libro 77,Borges,Norma,502,6,3
4747,Libro 78,Cortázar,Planeta,576,1,0
4410,Libro 79,Cortázar,Norma,385,11,1
1530,Libro 80,Asimov,Planeta,866,7,2
8272,Libro 81,Cortázar,Planeta,248,6,2
8120,Libro 82,Asimov,Norma,204,2,0
9351,Libro 83,Borges,Planeta,446,11,3
7746,Libro 84,Cortázar,Planeta,580,12,0
3330,Libro 85,Asimov,Planeta,797,7,3
5798,Libro 86,Borges,Norma,236,4,0
3069,Libro 87,Asimov,Planeta,887,3,1
4971,Libro 88,Asimov,Norma,459,9,0
8459,Libro 89,Asimov,Planeta,962,1,0
5621,Libro 90,Cortázar,Planeta,849,8,3
2078,Libro 91,Cortázar,Planeta,1014,10,2
3087,Libro 92,Borges,Planeta,1083,7,3
4687,Libro 93,Cortázar,Norma,285,11,0
8406,Libro 94,Asimov,Planeta,915,11,2
3820,Libro 95,Cortázar,Planeta,895,9,2
4427,Libro 96,Borges,Planeta,170,7,3
5047,Libro 97,Asimov,Norma,401,4,0
4785,Libro 98,Asimov,Norma,658,11,0
3380,Libro 99,Borges,Norma,657,2,0
